wallet,num_tx_erc20,num_in_tx_erc20,num_distinct_tokens_in,num_distinct_wallets_in_erc20,num_distinct_blocks_in_erc20,num_out_tx_erc20,num_distinct_tokens_out,num_distinct_wallets_out_erc20,num_distinct_blocks_out_erc20,min_block_number_in_erc20,max_block_number_in_erc20,min_block_number_out_erc20,max_block_number_out_erc20,num_tx_eth,balance_eth,num_in_tx,num_distinct_wallets_in,vol_in,mean_in,min_in,max_in,num_distinct_blocks_in,num_out_tx,num_distinct_wallets_out,vol_out,mean_out,min_out,max_out,num_distinct_blocks_out,min_block_number_in_eth,max_block_number_in_eth,min_block_number_out_eth,max_block_number_out_eth,is_scam
0x4e058be63d6694f069ef245f856b84d4b9f0d6ab,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5800452.0,6253525.0,0.0,0.0,3.0,0.56907875,2.0,2.0,0.56797875,0.283989375,0.011559999999999999,0.55641875,2.0,1.0,1.0,0.0011,0.0011,0.0011,0.0011,1.0,4931475.0,4931558.0,4931509.0,4931509.0,0.0
0x8db1638af307a522efea19e00c8024ccdbbfc43c,4.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,5279377.0,5750435.0,6890353.0,6890353.0,3.0,0.0342132903996909,1.0,1.0,0.01715495495984545,0.01715495495984545,0.01715495495984545,0.01715495495984545,1.0,2.0,2.0,0.017058335439845446,0.008529167719922723,0.0,0.017058335439845446,2.0,6890344.0,6890344.0,6890353.0,6890389.0,0.0
0xdc509e938432a97a459e6ee2cc3c75b11c8817e3,84.0,5.0,2.0,5.0,5.0,79.0,1.0,45.0,79.0,5402356.0,5822474.0,5437069.0,5943752.0,90.0,0.26300100000000004,3.0,2.0,0.161,0.05366666666666666,0.001,0.1,3.0,87.0,7.0,0.102001,0.0011724252873563216,0.0,0.04,87.0,5402313.0,5543036.0,5437069.0,5943752.0,0.0
0xe97bf0dd83a0bac8e16e75d0e09fbbb6d49ee750,3.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,6558228.0,6573316.0,0.0,0.0,4.0,0.02,1.0,1.0,0.02,0.02,0.02,0.02,1.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,6556635.0,6556635.0,6558228.0,6573316.0,0.0
0x7b7b3196b73f0110901be9f45df040189137876d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.11991600000000001,1.0,1.0,0.059979,0.059979,0.059979,0.059979,1.0,1.0,1.0,0.059937,0.059937,0.059937,0.059937,1.0,5580235.0,5580235.0,5580239.0,5580239.0,0.0
0x043aba87369f486c8363d6ff05aefd78ad927bbe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.27976866,1.0,1.0,0.13993683,0.13993683,0.13993683,0.13993683,1.0,1.0,1.0,0.13983183,0.13983183,0.13983183,0.13983183,1.0,5233309.0,5233309.0,5233311.0,5233311.0,0.0
0x180c426385b8fbf200e53bb755997e18246e4803,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6941689.0,6941689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x826c8e7ade807a00cdb6e83f2993642d3c9b73f0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6426480.0,6426480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xf1858c7006e844150155818d3022e3849b2fdf92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2001.99873898,2.0,2.0,1001.0,500.5,316.44644532406545,684.5535546759345,1.0,3.0,3.0,1000.99873898,333.6662463266667,0.10462,986.4898831221394,2.0,4628581.0,4628581.0,4628590.0,4628602.0,0.0
0x5e7c9076b1362959b6868ee580ba30afc4e98932,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5987593.0,5987593.0,0.0,0.0,2.0,0.0005,1.0,1.0,0.0005,0.0005,0.0005,0.0005,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5987536.0,5987536.0,5987593.0,5987593.0,0.0
